['you look fat', '太っ--動 て--助 見える--動 よ--助']
['drive carefully', '安全--名 運転--名 し--動 なさい--動']
['drive carefully', '慎重--名 に--助 運転--名 し--動 て--助 ください--動']
['eat more slowly', 'もっと--副 ゆっくり--副 食べ--動 なさい--動']
['enjoy your trip', '楽しい--形 旅--名 を--助']
['enjoy your trip', '楽しい--形 ご--接 旅行--名 を--助']
['enjoy your trip', '旅行--名 、--記 楽しん--動 で--助 き--動 て--助 ね--助']
['everyone dreams', 'みんな--名 夢--名 を--助 見る--動']
['everyone smiled', 'みんな--名 笑っ--動 た--助']
['everyone waited', 'みんな--名 待っ--動 た--助']
['fasten the gate', '門--名 に--助 かぎ--名 を--助 掛け--動 なさい--動']
['follow that car', 'あの--連 車--名 を--助 追っ--動 て--助 くれ--動']
['get me some ice', '氷--名 を--助 少し--副 持っ--動 て--助 き--動 て--助']
['get my tool box', '私--名 の--助 工具--名 箱--名 を--助 持っ--動 て--助 き--動 て--助']
['give me a break', '勘弁--名 し--動 て--助 くれ--動']
['give me a break', '勘弁--名 し--動 て--助 よ--助']
['give me a break', 'いいかげん--名 に--助 し--動 て--助']
['give me a towel', 'タオル--名 とっ--動 て--助']
['give us a break', '勘弁--名 し--動 て--助 くれ--動']
['go and find tom', 'トム--名 を--助 探し--動 て--助 き--動 て--助']
['go and help tom', 'トム--名 を--助 手伝っ--動 て--助 き--動 て--助']
['go back to work', '仕事--名 に--助 戻り--動 なさい--動']
['go home quickly', '早く--形 家--名 に--助 帰り--動 なさい--動']
['go to sleep now', 'もう--副 寝--動 なさい--動']
['great isnt it', 'すごい--形 じゃ--助 ない--助']
['has he come yet', '彼--名 は--助 もう--副 来--動 た--助 かい--助']
['has he come yet', '彼--名 は--助 もう--副 来--動 まし--助 た--助 か--助']
['have a nice day', '良い--形 一--名 日--名 を--助']
['he acts quickly', '彼--名 は--助 動作--名 が--助 はやい--形']
['he began to cry', '彼--名 は--助 泣き--動 出し--動 た--助']
['he began to run', '彼--名 は--助 走り出し--動 た--助']
['he bought a car', '彼--名 は--助 車--名 を--助 買っ--動 た--助']
['he bought a hat', '彼--名 は--助 帽子--名 を--助 買っ--動 た--助']
['he did his best', '彼--名 は--助 最善--名 を--助 つくし--動 た--助']
['he drinks a lot', '彼--名 は--助 大--接 酒飲み--名 だ--助']
['he felt at home', '彼--名 は--助 くつろい--動 だ--助']
['he felt at home', '彼--名 は--助 くつろい--動 だ--助 気分--名 に--助 なっ--動 た--助']
['he gave up hope', '彼--名 は--助 望み--名 を--助 捨て--動 た--助']
['he hardly works', '彼--名 は--助 ほとんど--副 働か--動 ない--助']
['he has bad eyes', '彼--名 は--助 目--名 が--助 悪い--形']
['he has gone mad', '彼--名 は--助 気--名 が--助 狂っ--動 た--助']
['he has gone out', '彼--名 は--助 外出--名 し--動 て--助 しまっ--動 た--助']
['he has ten cows', '彼--名 は--助 牛--名 を--助 十--名 頭--名 飼っ--動 て--助 いる--動']
['he has two cats', '彼--名 は--助 、--記 二--名 匹--名 猫--名 を--助 飼っ--動 て--助 いる--動']
['he has two cats', '彼--名 は--助 猫--名 を--助 二--名 匹--名 飼っ--動 て--助 い--動 ます--助']
['he is a bad boy', '彼--名 は--助 いけ--動 ない--助 子--名 だ--助']
['he is a painter', '彼--名 は--助 画家--名 だ--助']
['he is a student', '彼--名 は--助 学生--名 です--助']
['he is a teacher', '彼--名 は--助 教師--名 です--助']
['he is depressed', '彼--名 は--助 落ち込ん--動 で--助 いる--動']
['he is off today', '彼--名 は--助 今日--名 は--助 休み--名 です--助']
['he is unmarried', '彼--名 は--助 結婚--名 し--動 て--動 ない--助 です--助']
['he is very kind', '彼--名 は--助 非常--名 に--助 親切--名 だ--助']
['he is very kind', '彼--名 は--助 とても--副 親切--名 です--助']
['he is very sick', '彼--名 は--助 とても--副 具合--名 が--助 悪い--形']
['he just arrived', '彼--名 が--助 ちょうど--副 到着--名 し--動 まし--助 た--助']
['he kept singing', '彼--名 は--助 歌い--動 つづけ--動 た--助']
['he kept talking', '彼--名 は--助 話し--動 つづけ--動 た--助']
['he likes soccer', '彼--名 は--助 サッカー--名 が--助 好き--名 だ--助']
['he likes sweets', '彼--名 は--助 甘い--形 もの--名 が--助 好き--名 だ--助']
['he likes tigers', '彼--名 は--助 虎--名 が--助 好き--名']
['he likes to run', '彼--名 は--助 走る--動 の--名 が--助 好き--名 だ--助']
['he looked young', '彼--名 は--助 若く--形 見え--動 た--助']
['he looks strong', '彼--名 は--助 強--形 そう--名 に--助 みえる--動']
['he looks strong', '彼--名 は--助 強--形 そう--名 だ--助']
['he lost his job', '彼--名 は--助 失業--名 し--動 て--助 しまっ--動 た--助']
['he lost his job', '彼--名 は--助 失業--名 し--動 た--助']
['he loves soccer', '彼--名 は--助 サッカー--名 が--助 大変--名 好き--名 です--助']
['he loves trains', '彼--名 は--助 電車--名 が--助 大好き--名 です--助']
['he made a robot', '彼--名 は--助 ロボット--名 を--助 作っ--動 た--助']
['he mentioned it', '彼--名 は--助 それ--名 について--助 話し--動 た--助']
['he mentioned it', '彼--名 は--助 その--連 こと--名 について--助 語っ--動 た--助']
['he plays soccer', '彼--名 は--助 サッカー--名 を--助 し--動 て--助 いる--動']
['he plays soccer', '彼--名 は--助 サッカー--名 を--助 する--動']
['he pressured me', '彼--名 は--助 私--名 に--助 圧力--名 を--助 かけ--動 た--助']
['he quit smoking', '彼--名 は--助 喫煙--名 を--助 やめ--動 た--助']
['he quit smoking', '彼--名 は--助 煙草--名 を--助 やめ--動 た--助']
['he quit smoking', '彼--名 は--助 たばこ--名 を--助 やめ--動 た--助']
['he reads arabic', '彼--名 は--助 アラビア--名 語--名 を--助 読み--動 ます--助']
['he seems honest', '彼--名 は--助 正直--名 そう--名 だ--助']
['he stared at me', '彼--名 は--助 私--名 を--助 にらん--動 だ--助']
['he tires easily', '彼--名 は--助 疲れ--動 やすい--形']
['he walks slowly', '彼--名 は--助 ゆっくり--副 と--助 歩く--動']
['he was cheating', '彼--名 は--助 浮気--名 し--動 て--助 い--動 た--助']
['he was innocent', '彼--名 は--助 無実--名 だっ--助 た--助']
['he was very old', '彼--名 は--助 とても--副 年老い--動 て--助 い--動 た--助']
['he went to nara', '彼--名 は--助 奈良--名 に--助 行っ--動 た--助']
['he wore glasses', '彼--名 は--助 眼鏡--名 を--助 かけ--動 て--助 い--動 た--助']
['he writes books', '彼--名 は--助 作家--名 です--助']
['hell come soon', '彼--名 は--助 すぐ--副 来--動 ます--助']
['hes a big liar', '彼--名 は--助 大--接 ボラ--名 ふき--名 だ--助']
['hes a big liar', '彼--名 は--助 大--接 嘘つき--名 だ--助']
['hes a comedian', '彼--名 は--助 三枚目--名 だ--助']
['hes a good man', '彼--名 は--助 いい--形 人--名 です--助']
['hes antisocial', '彼--名 は--助 非--接 社交--名 的--名 だ--助']
['hes dead drunk', '彼--名 は--助 酔いつぶれ--動 て--助 いる--動']
['hes her friend', '彼--名 は--助 彼女--名 の--助 友達--名 です--助']
['hes kind to me', '彼--名 は--助 私--名 に--助 親切--名 だ--助']
['hes not a liar', '彼--名 は--助 嘘つき--名 で--助 は--助 ない--形']
['hes not stupid', '彼--名 は--助 馬鹿--名 で--助 は--助 ない--形']
['hes over forty', '彼--名 は--助 40--名 過ぎ--名 です--助']
['hes very angry', '彼--名 は--助 かんかん--副 に--助 怒っ--動 て--助 いる--動']
['hes very timid', '彼--名 は--助 とても--副 臆病--名 だ--助']
['hes well built', '彼--名 は--助 体格--名 が--助 良い--形']
['help me please', '助け--動 て--助 くれ--動']
['help me please', '私--名 を--助 手伝っ--動 て--助 ください--動']
['help me please', '助け--動 て--助 ください--動']
['help me please', 'どうか--副 助け--動 て--助 ください--動']
['hi how are you', 'やあ--感 ！--記 元気--名']
['hi how are you', 'やあ--感 ！--記 元気--名']
['hold on please', '少々--副 お待ち--名 下さい--動']
['hold on please', '少し--副 待っ--動 て--助 下さい--動']
['hold on please', 'ちょっと--副 お待ち--名 下さい--動']
['hold on please', 'そのまま--副 で--助 お待ち--名 ください--動']
['how about', '１--名 ２--名 時--名 ４--名 ５--名 分--名 は--助 どう--副 でしょ--助 う--助']
['how about', '12--名 時--名 45--名 分--名 とか--助 どう--副']
['how fascinating', 'すごく--形 面白--形 そう--名 です--助 ね--助']
['how is everyone', '皆さん--名 は--助 お--接 元気--名']
['how is your dad', 'お父さん--名 は--助 お--接 元気--名 です--助 か--助']
['how old are you', 'お--接 いくつ--名 です--助 か--助']
['how old are you', '何--名 歳--名 です--助 か--助']
['how old are you', 'あなた--名 の--助 年齢--名 は--助 何--名 歳--名 です--助 か--助']
['how old are you', '歳--名 は--助 いくつ--名 です--助 か--助']
['hows tom doing', 'トム--名 は--助 どう--副 し--動 てる--動']
['hows the taste', '味--名 は--助 いかが--名 です--助 か--助']
['hows your cold', '風邪--名 の--助 具合--名 は--助 どう--副 です--助 か--助']
['i ache all over', '体--名 中--名 が--助 痛む--動']
['i ache all over', '私--名 は--助 全身--名 が--助 痛い--形']
['i ache all over', '体--名 中--名 が--助 痛い--形']
['i ache all over', '全身--名 に--助 痛み--名 が--助 ある--動']
['i am a japanese', '私--名 は--助 日本人--名 で--助 ある--助']
['i am a japanese', '私--名 は--助 日本人--名 です--助']
['i am a poor man', '私--名 は--助 貧しい--形 男--名 です--助']
['i am busy today', '今日--名 は--助 忙しい--形']
['i am from egypt', '私--名 は--助 エジプト--名 出身--名 です--助']
['i am not afraid', '怖く--形 なんて--助 ない--形 さ--助']
['i appreciate it', '私--名 は--助 感謝--名 し--動 て--助 い--動 ます--助']
['i bit my tongue', '舌--名 噛ん--動 だ--助']
['i bought a book', '私--名 は--助 本--名 を--助 買い--動 まし--助 た--助']
['i called tom up', '私--名 は--助 トム--名 に--助 電話--名 し--動 た--助']
['i called him up', '彼--名 に--助 電話--名 し--動 た--助']
['i can sing well', '私--名 は--助 歌--名 が--助 上手い--形 です--助']
['i cant bear it', '我慢--名 でき--動 ない--助']
['i cant do that', '私--名 に--助 は--助 でき--動 ませ--助 ん--助']
['i cant do this', '私--名 に--助 は--助 でき--動 ませ--助 ん--助']
['i cant do this', 'これ--名 は--助 でき--動 ませ--助 ん--助']
['i cant hear it', '聞こえ--動 ない--助 よ--助']
['i caught a cold', '風邪--名 を--助 ひき--動 まし--助 た--助']
['i caught a cold', '私--名 は--助 風邪--名 を--助 ひい--動 た--助']
['i caught a cold', '風邪--名 ひい--動 た--助']
['i checked twice', '二--名 度--名 確認--名 し--動 まし--助 た--助']
['i chickened out', '意気地--名 が--助 なかっ--形 た--助 ん--名 だ--助']
['i cycle to work', '自転車--名 で--助 通勤--名 し--動 て--助 い--動 ます--助']
['i didnt see it', 'わたし--名 は--助 それ--名 を--助 見--動 て--助 い--動 ませ--助 ん--助']
['i dont need it', '必要--名 あり--動 ませ--助 ん--助']
['i dont need it', 'いら--動 ない--助 です--助']
['i dont need it', 'いり--動 ませ--助 ん--助']
['i escaped death', '九死--名 に--助 一生--名 を--助 得--動 まし--助 た--助']
['i feel nauseous', '吐き気--名 が--助 し--動 ます--助']
['i feel relieved', '安心--名 し--動 まし--助 た--助']
['i felt isolated', '私--名 は--助 孤独--名 を--助 感じ--動 た--助']
['i felt left out', '無視--名 さ--動 れ--動 た--助 気--名 が--助 し--動 た--助']
['i found the cat', '猫--名 を--助 みつけ--動 た--助']
['i get the point', '了解--名 し--動 まし--助 た--助']
['i go every year', '毎年--名 行き--動 ます--助']
['i got a sunburn', '私--名 は--助 日焼け--名 を--助 し--動 た--助']
['i got a sunburn', '日焼け--名 し--動 ちゃっ--動']
['i got sunburned', '私--名 は--助 日焼け--名 を--助 し--動 た--助']
['i got sunburned', '日焼け--名 し--動 ちゃっ--動']
['i got up at six', '私--名 は--助 6--名 時--名 に--助 起き--動 た--助']
['i hate politics', '私--名 は--助 政治--名 が--助 大嫌い--名 だ--助']
['i hate reptiles', '爬虫類--名 が--助 大嫌い--名']
['i hate studying', '私--名 は--助 勉強--名 が--助 嫌い--名 だ--助']
['i hate them all', 'みんな--名 嫌い--名']
['i hate tomatoes', 'トマト--名 が--助 大嫌い--名']
['i have bad eyes', '私--名 は--助 目--名 が--助 悪い--形']
['i have no fever', '熱--名 は--助 あり--動 ませ--助 ん--助']
['i have no money', '金欠--名 な--助 ん--名 だ--助']
['i have ten pens', '私--名 は--助 ペン--名 を--助 １--名 ０--名 本--名 持っ--動 て--助 い--動 ます--助']
['i have ten pens', '私--名 は--助 十--名 本--名 の--助 ペン--名 を--助 持っ--動 て--助 い--動 ます--助']
['i have to study', '勉強--名 し--動 なくっ--助 ちゃ--助']
['i have two cars', '僕--名 は--助 車--名 を--助 ２--名 台--名 持っ--動 て--助 いる--動']
['i have two cats', '私--名 は--助 猫--名 を--助 2--名 匹--名 飼っ--動 て--助 い--動 ます--助']
['i heard screams', '悲鳴--名 が--助 聞こえ--動 た--助']
['i hurt my elbow', 'ひじ--名 を--助 痛め--動 まし--助 た--助']
['i know his name', '彼--名 の--助 名前--名 を--助 知っ--動 て--助 い--動 ます--助']
['i like baseball', '私--名 は--助 野球--名 が--助 好き--名 だ--助']
['i like football', 'アメフト--名 が--助 好き--名 です--助']
['i like football', 'サッカー--名 が--助 好き--名 です--助']
['i like it a lot', 'とっても--副 好き--名 よ--助']
['i like your car', '私--名 は--助 君--名 の--助 車--名 が--助 好き--名 だ--助']
['i like your car', '私--名 は--助 あなた--名 の--助 車--名 が--助 好き--名 です--助']
['i live in japan', '私--名 は--助 日本--名 に--助 住ん--動 で--助 い--動 ます--助']
['i love comedies', '私--名 は--助 コメディ--名 が--助 好き--名 です--助']
['i love eggplant', '私--名 は--助 ナス--名 が--助 好き--名 です--助']
['i love you tom', 'トム--名 大好き--名']
['i love you tom', '大好き--名 だ--助 よ--助 、--記 トム--名']
['i love your car', '私--名 は--助 君--名 の--助 車--名 が--助 好き--名 だ--助']
['i need his help', '彼--名 の--助 助け--名 が--助 欲しい--形']
['i need somebody', '誰--名 か--助 き--動 て--助 くれ--動']
['i owe you a lot', 'あなた--名 の--助 おかげ--名 です--助']
['i played tennis', '私--名 は--助 テニス--名 を--助 し--動 まし--助 た--助']
['i run every day', '私--名 は--助 毎日--名 走り--動 ます--助']
['i slept soundly', 'ぐっすり--副 寝--動 まし--助 た--助']
['i think so too', '私--名 も--助 そう--副 思う--動']
['i think so too', '私--名 も--助 そんな--連 気--名 が--助 する--動']
['i took her home', '私--名 は--助 彼女--名 を--助 家--名 まで--助 送っ--動 た--助']
['i want a friend', '友達--名 が--助 欲しい--形']
['i want a guitar', 'ギター--名 が--助 欲しい--形 です--助']
['i want a refund', '返金--名 し--動 て--助 欲しい--形']
['i want that bag', 'あの--連 鞄--名 が--助 欲しい--形']
['i want to sleep', '僕--名 は--助 寝--動 たい--助']
['i want to sleep', '眠り--動 たい--助 ん--名 だ--助']
['i was a teacher', '私--名 は--助 教師--名 でし--助 た--助']
['i was satisfied', '満足--名 し--動 まし--助 た--助']
['i was too small', '私--名 は--助 小さ--形 すぎ--動 た--助']
['i will help you', 'お手伝い--名 し--動 ます--助 よ--助']
['i will help you', '手伝っ--動 て--助 あげる--動 よ--助']
['i will stop you', 'あなた--名 を--助 止める--動']
['id like a book', '本--名 を--助 下さい--動']
['id like a fork', 'フォーク--名 を--助 下さい--動']
['ill admit that', 'それ--名 は--助 認める--動']
['ill buy a ford', 'フォード--名 車--名 を--助 買う--動 つもり--名 です--助']
['ill call later', '後で--副 お--接 電話--名 いたし--動 ます--助']
['ill call later', 'あと--名 で--助 電話--名 する--動 ね--助']
['ill come by', '１--名 ０--名 時--名 まで--助 に--助 来--動 ます--助']
['ill do my best', '全力--名 を--助 尽くし--動 ます--助']
['ill do my best', '出来る--動 だけ--助 がんばり--動 ます--助']
['ill fix it now', '今--名 から--助 直し--動 ます--助']
['ill go ask tom', 'トム--名 に--助 訊い--動 て--助 くる--動 よ--助']
['ill go ask tom', 'トム--名 に--助 訊い--動 て--助 き--動 ます--助 ね--助']
['ill pay for it', '僕--名 が--助 払っ--動 と--助 こう--副']
['ill pay for it', 'ここ--名 は--助 私--名 が--助 出し--動 ます--助']
['im a bit drunk', '私--名 は--助 少し--副 酔っ--動 て--助 いる--動']
['im a bit tipsy', '私--名 は--助 少し--副 酔っ--動 て--助 いる--動']
['im a bit tired', '少し--副 疲れ--動 た--助']
['im a bit tired', '私--名 は--助 少し--副 疲れ--動 て--助 いる--動']
['im a good cook', '料理--名 は--助 得意--名 です--助']
['im a housewife', '私--名 は--助 主婦--名 です--助']
['im a night owl', '僕--名 は--助 夜--名 型--名 な--助 ん--名 だ--助']
['im a night owl', '私--名 は--助 夜--名 型--名 の--助 人間--名 です--助']
['im a policeman', '私--名 は--助 警官--名 だ--助']
['im a professor', '私--名 は--助 大学--名 教授--名 です--助']
['im able to run', '私--名 は--助 走る--動 こと--名 が--助 できる--動']
['im able to ski', '私--名 は--助 スキー--名 の--助 仕方--名 を--助 知っ--動 て--助 い--動 ます--助']
['im almost done', 'ほぼ--副 終わっ--動 た--助']
['im begging you', '頼む--動 よー--助']
['im cleaned out', '私--名 は--助 一文--名 無し--名 に--助 なっ--動 た--助']
['im colorblind', '色盲--名 です--助']
['im cooperative', '私--名 は--助 協調--名 性--名 が--助 ある--動']
['im going to go', '行く--動 よ--助']
['im going to go', 'あと--名 で--助 行く--動 ね--助']
['im here to win', '私--名 は--助 勝つ--動 ため--名 に--助 、--記 ここ--名 に--助 いる--動 ん--名 だ--助']
['im just joking', 'ほんの--連 冗談--名 だ--助 よ--助']
['im just joking', '冗談--名 です--助 よ--助']
['im leaving now', '今--名 出かける--動 所--名 な--助 ん--名 です--助 よ--助']
['im leaving now', '今--名 から--助 出--動 ます--助']
['im leaving now', '今--名 から--助 行く--動 よ--助']
['im lefthanded', '僕--名 は--助 左利き--名 です--助']
['im not chicken', 'びびっ--動 て--助 なんか--フ ない--形 よ--助']
['im not chicken', '怖く--形 なんて--助 ない--形 さ--助']
['im on duty now', '今--接 勤務--名 中--名 です--助']
['im pretty sure', '間違い--名 ない--助 と--助 思う--動 よ--助']
['im sick of tom', 'トム--名 に--助 は--助 もう--副 うんざり--副 だ--助']
['im so worn out', 'すっごく--形 疲れ--動 た--助']
['im the bad one', '悪い--形 の--名 は--助 私--名 です--助']
['im tied up now', '今--名 、--記 忙しい--形 の--助']
['im tied up now', '今--名 、--記 手--名 が--助 はなせ--動 ませ--助 ん--助']
['im very hungry', 'お腹--名 が--助 ぺこぺこ--名 です--助']
['im very hungry', 'ものすごく--形 お腹--名 が--助 すい--動 て--助 いる--動']
['im very hungry', '超--接 腹--名 減っ--動 た--助']
['im very lonely', '私--名 は--助 とても--副 寂しい--形']
['im very sleepy', 'すごく--形 眠い--形']
['im watching tv', 'わたし--名 は--助 テレビ--名 を--助 見--動 て--助 い--動 ます--助']
['ive got a cold', '風邪--名 を--助 ひき--動 まし--助 た--助']
['ive got a cold', 'かぜ--名 を--助 引い--動 て--助 いる--動 ん--名 だ--助']
['ive had enough', '十分--名 頂き--動 まし--助 た--助']
['ive had enough', 'もう--副 たくさん--名 だ--助']
['ive missed you', 'さみしかっ--形 た--助 よ--助']
['is tom a genius', 'トム--名 は--助 天才--名 です--助 か--助']
['is tom with you', 'トム--名 は--助 貴方--名 と--助 いっしょ--名 です--助 か--助']
['is anybody here', '誰--名 か--助 いる--動 の--助']
['is anybody home', '誰か--名 家--名 に--助 い--動 ます--助 か--助']
['is anybody hurt', '誰--名 か--助 怪我--名 し--動 た--助']
['is everybody ok', 'みんな--名 、--記 大丈夫--名']
['is he a teacher', '彼--名 は--助 先生--名 です--助 か--助']
['is he breathing', '呼吸--名 は--助']
['is he breathing', '彼--名 は--助 息--名 を--助 し--動 て--助 い--動 ます--助 か--助']
['is it good news', 'それ--名 は--助 良い--形 ニュース--名 な--助 の--名 か--助']
['is it not black', 'それ--名 は--助 黒く--形 あり--動 ませ--助 ん--助 か--助']
['is it too small', '小さ--形 すぎる--動']
['is she japanese', '日本人--名 です--助 か--助']
['is she japanese', '彼女--名 は--助 日本人--名 です--助 か--助']
['is she a doctor', '彼女--名 は--助 医者--名 です--助 か--助']
['is there a cafe', 'カフェ--名 が--助 あり--動 ます--助 か--助']
['is this a dream', 'これ--名 は--助 夢--名 な--助 の--名 か--助']
['is today monday', '今日--名 は--助 月曜日--名 です--助 か--助']
['it could be fun', 'それ--名 は--助 楽し--形 そう--名']
['it doesnt hurt', '痛く--形 は--助 あり--動 ませ--助 ん--助']
['it is seven now', '今--名 ７--名 時--名 です--助']
['it is up to you', 'あなた--名 次第--名 です--助']
['it is up to you', 'それ--名 は--助 あなた--名 次第--名 です--助']
['it is up to you', 'あなた--名 に--助 お--接 任せ--動 し--動 ます--助']
['it isnt a game', '遊び--名 じゃ--助 ない--助 ん--名 だ--助']
['it isnt a joke', '冗談--名 じゃ--助 ねえ--助 よ--助']
['it snowed a lot', '雪--名 が--助 たくさん--名 降っ--動 た--助']
['it sounds great', 'いい--形 案--名 だ--助']
['it tastes moldy', 'かび臭い--形 味--名 が--助 する--動']
['it was handmade', 'それ--名 は--助 ハンド--名 メイド--名 でし--助 た--助']
['it was handmade', '手作り--名 だっ--助 た--助']
['it was my fault', '私--名 の--助 責任--名 です--助']
['it was worth it', 'やっ--動 た--助 甲斐--名 は--助 あっ--動 た--助']
['itll rain soon', '今にも--副 雨--名 が--助 降り--動 そう--名 だ--助']
['itll rain soon', 'まもなく--副 雨--名 に--助 なる--動 だろ--助 う--助']
['its ok with me', '私--名 は--助 いい--形 です--助 よ--助']
['its a nice day', '晴れ--動 て--助 い--動 ます--助']
['its a nice day', 'いい--形 天気--名 です--助']
['its a pheasant', 'あれ--名 は--助 キジ--名 です--助']
['its a surprise', 'びっくり--名 だ--助']
['its about time', 'そろそろ--副 時間--名 だ--助']
['its already', 'もう--副 １--名 １--名 時--名 だ--助']
['its already', 'もう--副 11--名 時--名 だ--助']
['its already', 'もう--副 11--名 時--名 だ--助 よ--助']
['its fine today', '今日--名 は--助 天気--名 が--助 良い--形']
['its impossible', '絶対--名 無理--名 だ--助 ね--助']
['its incredible', 'そいつ--名 は--助 凄い--形']
['its news to me', 'それ--名 は--助 初耳--名 だ--助']
['its not a game', '遊び--名 じゃ--助 ない--助 ん--名 だ--助']
['its not a joke', '冗談--名 じゃ--助 ねえ--助 よ--助']
['its not my day', '今日--名 は--助 ついて--動 ない--助 な--助']
['its okay to go', '行っ--動 て--助 も--助 よい--形']
['its really hot', '暑--形 すぎ--動']
['its time to go', '出かける--動 時間--名 よ--助']
['its too flashy', '派手--名 すぎる--動 よ--助']
['its twothirty', '2--名 時半--名 です--助']
['its very humid', '湿度--名 が--助 すごく--形 高い--形 です--助 ね--助']
['just wrap it up', 'それ--名 を--助 包ん--動 で--助 下さい--動']
['keep on smiling', 'いつも--副 笑顔--名 で--助 ね--助']
['keep on smiling', '笑顔--名 を--助 続け--動 て--助']
['keep on working', '働き--動 続け--動 なさい--動']
['keep the change', 'お--接 つり--名 は--助 取っ--動 て--助 おい--動 て--助 ください--動']
['large isnt it', '広い--形 な--助']
['lemons are sour', 'レモン--名 は--助 酸っぱい--形']
['let me check it', '見--動 て--助 み--動 ましょ--助 う--助']
['let me help you', '手伝わ--動 せ--動 て--助 ください--動']
['let me see that', 'それ--名 を--助 見せ--動 て--助']
['let me see that', 'それ--名 見せ--動 て--助']
['lets eat pizza', 'ピザ--名 を--助 食べよ--動 う--助']
['lets eat sushi', 'お--接 寿司--名 を--助 食べ--動 ましょ--助 う--助']
['lets get going', 'さあ--感 、--記 始め--動 ましょ--助 う--助']
['lets get going', 'そろそろ--副 行き--動 ましょ--助 う--助 か--助']
['lets go by bus', 'バス--名 で--助 行き--動 ましょ--助 う--助']
['lets go by car', '車--名 で--助 行こ--動 う--助']
['lets rest here', 'ここ--名 で--助 少し--副 休も--動 う--助']
['lets rest here', 'ここ--名 で--助 休み--動 ましょ--助 う--助']
['lets rest here', 'ここ--名 で--助 、--記 休も--動 う--助']
['lets stop here', '今日--名 は--助 これ--名 で--助 おしまい--名 に--助 しよ--動 う--助']
['lets talk soon', '近い--形 うち--名 に--助 話そ--動 う--助']
['lets try again', 'もう--副 一--名 回--名 やっ--動 て--助 みよ--動 う--助']
['look behind you', '後ろ--名 を--助 見ろ--動']
['make it smaller', 'もっと--副 小さく--形 し--動 て--助']
['man im hungry', 'ああ--感 、--記 お腹--名 が--助 空い--動 た--助']
['marys my niece', 'メアリー--名 は--助 私--名 の--助 姪--名 です--助']
['may i come too', '私--名 も--助 行っ--動 て--助 も--助 いい--形']
['may i feel this', 'これ--名 触っ--動 て--助 も--助 いい--形 です--助 か--助']
['may i try it on', '試--名 着--動 でき--動 ます--助 か--助']
['may i try it on', 'それ--名 を--助 着--動 て--助 み--動 て--助 も--助 いい--形 です--助 か--助']
['maybe next time', 'やっぱり--副 、--記 やめ--動 とく--動']
['merry christmas', 'メリークリスマス--感']
['merry christmas', 'メリークリスマス--感']
['mom im hungry', 'ママ--名 、--記 おなか--名 すい--動 た--助']
['my father is in', '父--名 は--助 家--名 に--助 いる--動']
['my hat blew off', '帽子--名 が--助 ふきとばさ--動 れ--動 た--助']
['my throat hurts', '喉--名 が--助 痛い--形']
['never tell lies', '決して--副 嘘--名 を--助 ついては--接 いけ--動 ませ--助 ん--助']
['never tell lies', 'うそ--名 を--助 言っ--動 て--助 は--助 いけ--動 ない--助 よ--助']
['nice seeing you', '会え--動 て--助 嬉しかっ--形 た--助 よ--助']
['no one can tell', '誰--名 に--助 も--助 分から--動 ない--助']
['no one has died', '誰--名 も--助 死な--動 なかっ--助 た--助']
['nobody has died', '誰--名 も--助 死な--動 なかっ--助 た--助']
['open the bottle', 'ビン--名 を--助 あけ--動 て--助 ください--動']
['open the window', '窓--名 を--助 開け--動 て--助']
['please call him', '彼--名 に--助 電話--名 し--動 て--助 下さい--動']
['please continue', '話し--動 続け--動 て--助']
['please continue', 'どうぞ--副 続け--動 て--助']
['please dont go', '行か--動 ない--助 で--助 ください--動']
['please fix that', 'そこ--名 を--助 訂正--名 し--動 て--助 ください--動']
['please fix this', 'なおし--動 て--助 下さい--動']
['please fix this', 'これ--名 を--助 直し--動 て--助 下さい--動']
['please hurry up', 'お願い--名 、--記 急い--動 で--助']
['please sit down', '座り--名 な--助 よ--助']
['please sit down', 'お--接 座り--動 下さい--動']
['please sit down', 'お--接 掛け--動 ください--動']
['please sit here', 'こちら--名 に--助 お--接 掛け--動 ください--動']
['please sit here', 'こちら--名 に--助 おかけ--名 ください--動']
['please stand up', '立っ--動 て--助 下さい--動']
['please take one', '自由--名 に--助 お--接 持ち--動 下さい--動']
['please tell me', 'どうぞ--副 、--記 私--名 に--助 話し--動 て--助 下さい--動']
['please tell me', 'お願い--名 、--記 私--名 に--助 話し--動 て--助']
['put your hat on', '帽子--名 を--助 かぶり--動 なさい--動']
['raise your hand', '手--名 を--助 上げ--動 なさい--動']
['remove your hat', '帽子--名 を--助 脱ぎ--動 なさい--動']
['remove your hat', '帽子--名 を--助 取り--動 なさい--動']
['see you at', '2--名 時半--名 に--助 会お--動 う--助']
['see you at', '2--名 時半--名 に--助 会い--動 ましょ--助 う--助']
['she adores cats', '彼女--名 は--助 ネコ--名 が--助 大好き--名 だ--助']
['she got up late', '彼女--名 は--助 起きる--動 の--名 が--助 遅れ--動 た--助']
['she got up late', '彼女--名 は--助 遅く--形 起き--動 た--助']
['she is japanese', '彼女--名 は--助 日本人--名 女性--名 です--助']
['she is japanese', '彼女--名 は--助 日本人--名 です--助']
['she is a genius', '彼女--名 は--助 天才--名 です--助']
['she is a runner', '彼女--名 は--助 走者--名 です--助']
['she is a typist', '彼女--名 は--助 タイピスト--名 です--助']
